CAL1125054.1 Cladocopium269
CAL1125093.1 Cladocopium308
CAL1125454.1 Cladocopium669
CAL1125056.1 Cladocopium271
CAL1125323.1 Cladocopium538
CAL1125159.1 Cladocopium374
CAL1125537.1 Cladocopium752
CAL1125418.1 Cladocopium633
CAL1125441.1 Cladocopium656
CAL1125539.1 Cladocopium754
CAL1125553.1 Cladocopium768
CAL1125487.1 Cladocopium702
CAL1125317.1 Cladocopium532
CAL1125085.1 Cladocopium300
CAL1125188.1 Cladocopium403
CAL1125084.1 Cladocopium299
CAL1125378.1 Cladocopium593
CAL1125519.1 Cladocopium734
CAL1124871.1 Cladocopium86
CAL1124876.1 Cladocopium91
CAL1125005.1 Cladocopium220
CAL1125204.1 Cladocopium419
CAL1124915.1 Cladocopium130
CAL1125350.1 Cladocopium565
CAL1124963.1 Cladocopium178
CAL1125109.1 Cladocopium324
CAL1125444.1 Cladocopium659
CAL1125548.1 Cladocopium763
CAL1124831.1 Cladocopium46
CAL1125195.1 Cladocopium410
CAL1125105.1 Cladocopium320
CAL1125095.1 Cladocopium310
CAL1124937.1 Cladocopium152
CAL1125007.1 Cladocopium222
CAL1125568.1 Cladocopium783
CAL1124860.1 Cladocopium75
CAL1125462.1 Cladocopium677
CAL1125406.1 Cladocopium621
CAL1125305.1 Cladocopium520
CAL1125004.1 Cladocopium219
CAL1125565.1 Cladocopium780
CAL1125216.1 Cladocopium431
CAL1125486.1 Cladocopium701
CAL1125409.1 Cladocopium624
CAL1124851.1 Cladocopium66
CAL1125411.1 Cladocopium626
CAL1125135.1 Cladocopium350
CAL1124910.1 Cladocopium125
CAL1125021.1 Cladocopium236
CAL1125327.1 Cladocopium542
CAL1125438.1 Cladocopium653
CAL1124991.1 Cladocopium206
CAL1124889.1 Cladocopium104
CAL1125600.1 Cladocopium815
CAL1125604.1 Cladocopium819
CAL1125301.1 Cladocopium516
CAL1125185.1 Cladocopium400
CAL1124801.1 Cladocopium16
CAL1124786.1 Cladocopium1
CAL1125381.1 Cladocopium596
CAL1125162.1 Cladocopium377
CAL1125431.1 Cladocopium646
CAL1125509.1 Cladocopium724
CAL1125010.1 Cladocopium225
CAL1125501.1 Cladocopium716
CAL1125512.1 Cladocopium727
CAL1124914.1 Cladocopium129
CAL1125140.1 Cladocopium355
CAL1125014.1 Cladocopium229
CAL1125526.1 Cladocopium741
CAL1124946.1 Cladocopium161
CAL1125147.1 Cladocopium362
CAL1125288.1 Cladocopium503
CAL1125427.1 Cladocopium642
CAL1125546.1 Cladocopium761
CAL1125254.1 Cladocopium469
CAL1125530.1 Cladocopium745
CAL1124870.1 Cladocopium85
CAL1125395.1 Cladocopium610
CAL1125243.1 Cladocopium458
CAL1125544.1 Cladocopium759
CAL1125451.1 Cladocopium666
CAL1125587.1 Cladocopium802
CAL1125236.1 Cladocopium451
CAL1125334.1 Cladocopium549
CAL1125097.1 Cladocopium312
CAL1125003.1 Cladocopium218
CAL1124903.1 Cladocopium118
CAL1125316.1 Cladocopium531
CAL1125405.1 Cladocopium620
CAL1125423.1 Cladocopium638
CAL1125576.1 Cladocopium791
CAL1124846.1 Cladocopium61
CAL1124990.1 Cladocopium205
CAL1125393.1 Cladocopium608
CAL1124908.1 Cladocopium123
CAL1124954.1 Cladocopium169
CAL1124811.1 Cladocopium26
CAL1125103.1 Cladocopium318
CAL1125126.1 Cladocopium341
CAL1124821.1 Cladocopium36
CAL1125430.1 Cladocopium645
CAL1125346.1 Cladocopium561
CAL1125223.1 Cladocopium438
CAL1125253.1 Cladocopium468
CAL1124866.1 Cladocopium81
CAL1125193.1 Cladocopium408
CAL1124788.1 Cladocopium3
CAL1125307.1 Cladocopium522
CAL1125039.1 Cladocopium254
CAL1125207.1 Cladocopium422
CAL1125474.1 Cladocopium689
CAL1124809.1 Cladocopium24
CAL1125034.1 Cladocopium249
CAL1125358.1 Cladocopium573
CAL1124981.1 Cladocopium196
CAL1124855.1 Cladocopium70
CAL1125300.1 Cladocopium515
CAL1125426.1 Cladocopium641
CAL1125079.1 Cladocopium294
CAL1125215.1 Cladocopium430
CAL1124816.1 Cladocopium31
CAL1125480.1 Cladocopium695
CAL1125283.1 Cladocopium498
CAL1125024.1 Cladocopium239
CAL1124944.1 Cladocopium159
CAL1124804.1 Cladocopium19
CAL1125260.1 Cladocopium475
CAL1125041.1 Cladocopium256
CAL1124923.1 Cladocopium138
CAL1125240.1 Cladocopium455
CAL1124953.1 Cladocopium168
CAL1124859.1 Cladocopium74
CAL1125228.1 Cladocopium443
CAL1125466.1 Cladocopium681
CAL1124984.1 Cladocopium199
CAL1124854.1 Cladocopium69
CAL1125160.1 Cladocopium375
CAL1125065.1 Cladocopium280
CAL1125493.1 Cladocopium708
CAL1124961.1 Cladocopium176
CAL1124835.1 Cladocopium50
CAL1125070.1 Cladocopium285
CAL1125166.1 Cladocopium381
CAL1124887.1 Cladocopium102
CAL1125051.1 Cladocopium266
CAL1125360.1 Cladocopium575
CAL1124996.1 Cladocopium211
CAL1124897.1 Cladocopium112
CAL1125564.1 Cladocopium779
CAL1125096.1 Cladocopium311
CAL1125319.1 Cladocopium534
CAL1125582.1 Cladocopium797
CAL1124941.1 Cladocopium156
CAL1125581.1 Cladocopium796
CAL1125625.1 Cladocopium840
CAL1125125.1 Cladocopium340
CAL1125471.1 Cladocopium686
CAL1125299.1 Cladocopium514
CAL1125416.1 Cladocopium631
CAL1125276.1 Cladocopium491
CAL1125198.1 Cladocopium413
CAL1125468.1 Cladocopium683
CAL1124931.1 Cladocopium146
CAL1125259.1 Cladocopium474
CAL1125586.1 Cladocopium801
CAL1125436.1 Cladocopium651
CAL1125013.1 Cladocopium228
CAL1125330.1 Cladocopium545
CAL1125222.1 Cladocopium437
CAL1125373.1 Cladocopium588
CAL1125245.1 Cladocopium460
CAL1125078.1 Cladocopium293
CAL1125218.1 Cladocopium433
CAL1124867.1 Cladocopium82
CAL1124983.1 Cladocopium198
CAL1124794.1 Cladocopium9
CAL1125290.1 Cladocopium505
CAL1125401.1 Cladocopium616
CAL1125153.1 Cladocopium368
CAL1125062.1 Cladocopium277
CAL1125435.1 Cladocopium650
CAL1125362.1 Cladocopium577
CAL1124869.1 Cladocopium84
CAL1125569.1 Cladocopium784
CAL1125483.1 Cladocopium698
CAL1125455.1 Cladocopium670
CAL1125278.1 Cladocopium493
CAL1124918.1 Cladocopium133
CAL1125030.1 Cladocopium245
CAL1125150.1 Cladocopium365
CAL1125029.1 Cladocopium244
CAL1124942.1 Cladocopium157
CAL1125621.1 Cladocopium836
CAL1125190.1 Cladocopium405
CAL1124993.1 Cladocopium208
CAL1125384.1 Cladocopium599
CAL1124865.1 Cladocopium80
CAL1125325.1 Cladocopium540
CAL1124952.1 Cladocopium167
CAL1124826.1 Cladocopium41
CAL1125527.1 Cladocopium742
CAL1124969.1 Cladocopium184
CAL1125239.1 Cladocopium454
CAL1125531.1 Cladocopium746
CAL1125069.1 Cladocopium284
CAL1125258.1 Cladocopium473
CAL1125465.1 Cladocopium680
CAL1124982.1 Cladocopium197
CAL1124830.1 Cladocopium45
CAL1125155.1 Cladocopium370
CAL1125342.1 Cladocopium557
CAL1125439.1 Cladocopium654
CAL1125138.1 Cladocopium353
CAL1125563.1 Cladocopium778
CAL1125134.1 Cladocopium349
CAL1125354.1 Cladocopium569
CAL1124864.1 Cladocopium79
CAL1125068.1 Cladocopium283
CAL1125064.1 Cladocopium279
CAL1125321.1 Cladocopium536
CAL1124798.1 Cladocopium13
CAL1125298.1 Cladocopium513
CAL1125422.1 Cladocopium637
CAL1124842.1 Cladocopium57
CAL1125492.1 Cladocopium707
CAL1125580.1 Cladocopium795
CAL1124966.1 Cladocopium181
CAL1125445.1 Cladocopium660
CAL1125357.1 Cladocopium572
CAL1125529.1 Cladocopium744
CAL1125058.1 Cladocopium273
CAL1125116.1 Cladocopium331
CAL1125032.1 Cladocopium247
CAL1125098.1 Cladocopium313
CAL1125277.1 Cladocopium492
CAL1125592.1 Cladocopium807
CAL1125557.1 Cladocopium772
CAL1125161.1 Cladocopium376
CAL1124807.1 Cladocopium22
CAL1125616.1 Cladocopium831
CAL1125265.1 Cladocopium480
CAL1125184.1 Cladocopium399
CAL1125450.1 Cladocopium665
CAL1125081.1 Cladocopium296
CAL1124819.1 Cladocopium34
CAL1125595.1 Cladocopium810
CAL1124930.1 Cladocopium145
CAL1125191.1 Cladocopium406
CAL1125104.1 Cladocopium319
CAL1125229.1 Cladocopium444
CAL1125578.1 Cladocopium793
CAL1125250.1 Cladocopium465
CAL1125080.1 Cladocopium295
CAL1125410.1 Cladocopium625
CAL1125002.1 Cladocopium217
CAL1124894.1 Cladocopium109
CAL1125203.1 Cladocopium418
CAL1125386.1 Cladocopium601
CAL1125478.1 Cladocopium693
CAL1125214.1 Cladocopium429
CAL1124883.1 Cladocopium98
CAL1125605.1 Cladocopium820
CAL1125345.1 Cladocopium560
CAL1125497.1 Cladocopium712
CAL1124884.1 Cladocopium99
CAL1124917.1 Cladocopium132
CAL1125083.1 Cladocopium298
CAL1125173.1 Cladocopium388
CAL1124960.1 Cladocopium175
CAL1125607.1 Cladocopium822
CAL1125213.1 Cladocopium428
CAL1125275.1 Cladocopium490
CAL1125046.1 Cladocopium261
CAL1125129.1 Cladocopium344
CAL1125392.1 Cladocopium607
CAL1125112.1 Cladocopium327
CAL1125356.1 Cladocopium571
CAL1125479.1 Cladocopium694
CAL1124921.1 Cladocopium136
CAL1125590.1 Cladocopium805
CAL1125372.1 Cladocopium587
CAL1125463.1 Cladocopium678
CAL1125579.1 Cladocopium794
CAL1125211.1 Cladocopium426
CAL1124873.1 Cladocopium88
CAL1125335.1 Cladocopium550
CAL1124977.1 Cladocopium192
CAL1125133.1 Cladocopium348
CAL1124989.1 Cladocopium204
CAL1125001.1 Cladocopium216
CAL1124886.1 Cladocopium101
CAL1125115.1 Cladocopium330
CAL1125121.1 Cladocopium336
CAL1125311.1 Cladocopium526
CAL1124893.1 Cladocopium108
CAL1125235.1 Cladocopium450
CAL1125541.1 Cladocopium756
CAL1124892.1 Cladocopium107
CAL1125206.1 Cladocopium421
CAL1125415.1 Cladocopium630
CAL1125025.1 Cladocopium240
CAL1125344.1 Cladocopium559
CAL1125035.1 Cladocopium250
CAL1125596.1 Cladocopium811
CAL1124964.1 Cladocopium179
CAL1125108.1 Cladocopium323
CAL1125170.1 Cladocopium385
CAL1125434.1 Cladocopium649
CAL1125308.1 Cladocopium523
CAL1125611.1 Cladocopium826
CAL1125488.1 Cladocopium703
CAL1125364.1 Cladocopium579
CAL1124888.1 Cladocopium103
CAL1125242.1 Cladocopium457
CAL1125151.1 Cladocopium366
CAL1125082.1 Cladocopium297
CAL1125460.1 Cladocopium675
CAL1125090.1 Cladocopium305
CAL1125310.1 Cladocopium525
CAL1125165.1 Cladocopium380
CAL1124840.1 Cladocopium55
CAL1125620.1 Cladocopium835
CAL1125482.1 Cladocopium697
CAL1125282.1 Cladocopium497
CAL1125585.1 Cladocopium800
CAL1124926.1 Cladocopium141
CAL1124799.1 Cladocopium14
CAL1125622.1 Cladocopium837
CAL1125498.1 Cladocopium713
CAL1125100.1 Cladocopium315
CAL1125452.1 Cladocopium667
CAL1125172.1 Cladocopium387
CAL1125329.1 Cladocopium544
CAL1124976.1 Cladocopium191
CAL1124829.1 Cladocopium44
CAL1125517.1 Cladocopium732
CAL1125292.1 Cladocopium507
CAL1125532.1 Cladocopium747
CAL1125448.1 Cladocopium663
CAL1124929.1 Cladocopium144
CAL1124965.1 Cladocopium180
CAL1124822.1 Cladocopium37
CAL1125141.1 Cladocopium356
CAL1125347.1 Cladocopium562
CAL1125296.1 Cladocopium511
CAL1125249.1 Cladocopium464
CAL1124951.1 Cladocopium166
CAL1124817.1 Cladocopium32
CAL1124856.1 Cladocopium71
CAL1125337.1 Cladocopium552
CAL1124979.1 Cladocopium194
CAL1124868.1 Cladocopium83
CAL1125123.1 Cladocopium338
CAL1125510.1 Cladocopium725
CAL1125146.1 Cladocopium361
CAL1124902.1 Cladocopium117
CAL1125020.1 Cladocopium235
CAL1125394.1 Cladocopium609
CAL1125187.1 Cladocopium402
CAL1125210.1 Cladocopium425
CAL1125272.1 Cladocopium487
CAL1125506.1 Cladocopium721
CAL1124882.1 Cladocopium97
CAL1125043.1 Cladocopium258
CAL1125518.1 Cladocopium733
CAL1124957.1 Cladocopium172
CAL1125220.1 Cladocopium435
CAL1124958.1 Cladocopium173
CAL1124891.1 Cladocopium106
CAL1125402.1 Cladocopium617
CAL1125377.1 Cladocopium592
CAL1125332.1 Cladocopium547
CAL1125339.1 Cladocopium554
CAL1124797.1 Cladocopium12
CAL1125200.1 Cladocopium415
CAL1125366.1 Cladocopium581
CAL1124956.1 Cladocopium171
CAL1124858.1 Cladocopium73
CAL1125504.1 Cladocopium719
CAL1124828.1 Cladocopium43
CAL1125361.1 Cladocopium576
CAL1125055.1 Cladocopium270
CAL1125355.1 Cladocopium570
CAL1125419.1 Cladocopium634
CAL1125071.1 Cladocopium286
CAL1125442.1 Cladocopium657
CAL1124823.1 Cladocopium38
CAL1125618.1 Cladocopium833
CAL1125343.1 Cladocopium558
CAL1125309.1 Cladocopium524
CAL1125560.1 Cladocopium775
CAL1124852.1 Cladocopium67
CAL1125412.1 Cladocopium627
CAL1125205.1 Cladocopium420
CAL1125295.1 Cladocopium510
CAL1125472.1 Cladocopium687
CAL1125591.1 Cladocopium806
CAL1125614.1 Cladocopium829
CAL1124968.1 Cladocopium183
CAL1124850.1 Cladocopium65
CAL1125306.1 Cladocopium521
CAL1125476.1 Cladocopium691
CAL1125624.1 Cladocopium839
CAL1125522.1 Cladocopium737
CAL1125577.1 Cladocopium792
CAL1125626.1 Cladocopium841
CAL1125075.1 Cladocopium290
CAL1125496.1 Cladocopium711
CAL1124936.1 Cladocopium151
CAL1124841.1 Cladocopium56
CAL1125271.1 Cladocopium486
CAL1125388.1 Cladocopium603
CAL1125091.1 Cladocopium306
CAL1124796.1 Cladocopium11
CAL1125397.1 Cladocopium612
CAL1125266.1 Cladocopium481
CAL1124802.1 Cladocopium17
CAL1124805.1 Cladocopium20
CAL1125293.1 Cladocopium508
CAL1125318.1 Cladocopium533
CAL1125009.1 Cladocopium224
CAL1125059.1 Cladocopium274
CAL1124896.1 Cladocopium111
CAL1125209.1 Cladocopium424
CAL1125348.1 Cladocopium563
CAL1125549.1 Cladocopium764
CAL1125570.1 Cladocopium785
CAL1125514.1 Cladocopium729
CAL1125086.1 Cladocopium301
CAL1125550.1 Cladocopium765
CAL1124815.1 Cladocopium30
CAL1125489.1 Cladocopium704
CAL1124800.1 Cladocopium15
CAL1125052.1 Cladocopium267
CAL1125011.1 Cladocopium226
CAL1124980.1 Cladocopium195
CAL1125177.1 Cladocopium392
CAL1125376.1 Cladocopium591
CAL1125244.1 Cladocopium459
CAL1125156.1 Cladocopium371
CAL1124825.1 Cladocopium40
CAL1124933.1 Cladocopium148
CAL1124940.1 Cladocopium155
CAL1124934.1 Cladocopium149
CAL1124928.1 Cladocopium143
CAL1125421.1 Cladocopium636
CAL1125267.1 Cladocopium482
CAL1125101.1 Cladocopium316
CAL1125142.1 Cladocopium357
CAL1124824.1 Cladocopium39
CAL1125106.1 Cladocopium321
CAL1125131.1 Cladocopium346
CAL1124955.1 Cladocopium170
CAL1125304.1 Cladocopium519
CAL1125333.1 Cladocopium548
CAL1124838.1 Cladocopium53
CAL1125610.1 Cladocopium825
CAL1125495.1 Cladocopium710
CAL1125255.1 Cladocopium470
CAL1125183.1 Cladocopium398
CAL1125048.1 Cladocopium263
CAL1125176.1 Cladocopium391
CAL1124948.1 Cladocopium163
CAL1124787.1 Cladocopium2
CAL1124861.1 Cladocopium76
CAL1125408.1 Cladocopium623
CAL1125417.1 Cladocopium632
CAL1125533.1 Cladocopium748
CAL1125137.1 Cladocopium352
CAL1125018.1 Cladocopium233
CAL1124837.1 Cladocopium52
CAL1125545.1 Cladocopium760
CAL1125505.1 Cladocopium720
CAL1124943.1 Cladocopium158
CAL1124900.1 Cladocopium115
CAL1125594.1 Cladocopium809
CAL1125128.1 Cladocopium343
CAL1125370.1 Cladocopium585
CAL1125429.1 Cladocopium644
CAL1125420.1 Cladocopium635
CAL1125340.1 Cladocopium555
CAL1124992.1 Cladocopium207
CAL1125174.1 Cladocopium389
CAL1124899.1 Cladocopium114
CAL1124792.1 Cladocopium7
CAL1124932.1 Cladocopium147
CAL1125017.1 Cladocopium232
CAL1124898.1 Cladocopium113
CAL1125171.1 Cladocopium386
CAL1125169.1 Cladocopium384
CAL1124879.1 Cladocopium94
CAL1125432.1 Cladocopium647
CAL1124895.1 Cladocopium110
CAL1125143.1 Cladocopium358
CAL1125484.1 Cladocopium699
CAL1125588.1 Cladocopium803
CAL1125286.1 Cladocopium501
CAL1125044.1 Cladocopium259
CAL1125132.1 Cladocopium347
CAL1125602.1 Cladocopium817
CAL1125262.1 Cladocopium477
CAL1125089.1 Cladocopium304
CAL1125379.1 Cladocopium594
CAL1125118.1 Cladocopium333
CAL1125269.1 Cladocopium484
CAL1125363.1 Cladocopium578
CAL1125197.1 Cladocopium412
CAL1124844.1 Cladocopium59
CAL1125521.1 Cladocopium736
CAL1125234.1 Cladocopium449
CAL1125111.1 Cladocopium326
CAL1125178.1 Cladocopium393
CAL1124885.1 Cladocopium100
CAL1124988.1 Cladocopium203
CAL1124849.1 Cladocopium64
CAL1124878.1 Cladocopium93
CAL1124924.1 Cladocopium139
CAL1125387.1 Cladocopium602
CAL1125114.1 Cladocopium329
CAL1125012.1 Cladocopium227
CAL1125475.1 Cladocopium690
CAL1124845.1 Cladocopium60
CAL1124847.1 Cladocopium62
CAL1125598.1 Cladocopium813
CAL1125513.1 Cladocopium728
CAL1124919.1 Cladocopium134
CAL1124913.1 Cladocopium128
CAL1125022.1 Cladocopium237
CAL1124909.1 Cladocopium124
CAL1125045.1 Cladocopium260
CAL1125189.1 Cladocopium404
CAL1125291.1 Cladocopium506
CAL1125615.1 Cladocopium830
CAL1124836.1 Cladocopium51
CAL1125094.1 Cladocopium309
CAL1124994.1 Cladocopium209
CAL1125428.1 Cladocopium643
CAL1124791.1 Cladocopium6
CAL1125407.1 Cladocopium622
CAL1125566.1 Cladocopium781
CAL1125016.1 Cladocopium231
CAL1125285.1 Cladocopium500
CAL1125038.1 Cladocopium253
CAL1125447.1 Cladocopium662
CAL1124881.1 Cladocopium96
CAL1125023.1 Cladocopium238
CAL1125224.1 Cladocopium439
CAL1125457.1 Cladocopium672
CAL1125502.1 Cladocopium717
CAL1125540.1 Cladocopium755
CAL1125469.1 Cladocopium684
CAL1125158.1 Cladocopium373
CAL1125403.1 Cladocopium618
CAL1124906.1 Cladocopium121
CAL1125145.1 Cladocopium360
CAL1125251.1 Cladocopium466
CAL1124810.1 Cladocopium25
CAL1125613.1 Cladocopium828
CAL1124962.1 Cladocopium177
CAL1125414.1 Cladocopium629
CAL1125535.1 Cladocopium750
CAL1125464.1 Cladocopium679
CAL1125149.1 Cladocopium364
CAL1125036.1 Cladocopium251
CAL1125552.1 Cladocopium767
CAL1125385.1 Cladocopium600
CAL1125314.1 Cladocopium529
CAL1125619.1 Cladocopium834
CAL1125015.1 Cladocopium230
CAL1124843.1 Cladocopium58
CAL1125470.1 Cladocopium685
CAL1124901.1 Cladocopium116
CAL1125180.1 Cladocopium395
CAL1124972.1 Cladocopium187
CAL1125144.1 Cladocopium359
CAL1125057.1 Cladocopium272
CAL1124949.1 Cladocopium164
CAL1125573.1 Cladocopium788
CAL1125130.1 Cladocopium345
CAL1125485.1 Cladocopium700
CAL1125231.1 Cladocopium446
CAL1125617.1 Cladocopium832
CAL1125297.1 Cladocopium512
CAL1125398.1 Cladocopium613
CAL1125274.1 Cladocopium489
CAL1125555.1 Cladocopium770
CAL1125601.1 Cladocopium816
CAL1125534.1 Cladocopium749
CAL1125212.1 Cladocopium427
CAL1125341.1 Cladocopium556
CAL1125558.1 Cladocopium773
CAL1125572.1 Cladocopium787
CAL1125263.1 Cladocopium478
CAL1125575.1 Cladocopium790
CAL1124820.1 Cladocopium35
CAL1124971.1 Cladocopium186
CAL1125074.1 Cladocopium289
CAL1124818.1 Cladocopium33
CAL1125389.1 Cladocopium604
CAL1124911.1 Cladocopium126
CAL1125382.1 Cladocopium597
CAL1125499.1 Cladocopium714
CAL1125031.1 Cladocopium246
CAL1125164.1 Cladocopium379
CAL1125352.1 Cladocopium567
CAL1125232.1 Cladocopium447
CAL1124812.1 Cladocopium27
CAL1124814.1 Cladocopium29
CAL1125583.1 Cladocopium798
CAL1125524.1 Cladocopium739
CAL1125536.1 Cladocopium751
CAL1125449.1 Cladocopium664
CAL1124789.1 Cladocopium4
CAL1125599.1 Cladocopium814
CAL1125072.1 Cladocopium287
CAL1125066.1 Cladocopium281
CAL1124999.1 Cladocopium214
CAL1124880.1 Cladocopium95
CAL1125433.1 Cladocopium648
CAL1125102.1 Cladocopium317
CAL1125186.1 Cladocopium401
CAL1125383.1 Cladocopium598
CAL1125523.1 Cladocopium738
CAL1124803.1 Cladocopium18
CAL1125237.1 Cladocopium452
CAL1124827.1 Cladocopium42
CAL1125446.1 Cladocopium661
CAL1125331.1 Cladocopium546
CAL1125561.1 Cladocopium776
CAL1124839.1 Cladocopium54
CAL1125554.1 Cladocopium769
CAL1125221.1 Cladocopium436
CAL1125268.1 Cladocopium483
CAL1125225.1 Cladocopium440
CAL1125148.1 Cladocopium363
CAL1124935.1 Cladocopium150
CAL1125507.1 Cladocopium722
CAL1125302.1 Cladocopium517
CAL1125248.1 Cladocopium463
CAL1125033.1 Cladocopium248
CAL1125019.1 Cladocopium234
CAL1124875.1 Cladocopium90
CAL1124863.1 Cladocopium78
CAL1125047.1 Cladocopium262
CAL1125490.1 Cladocopium705
CAL1125589.1 Cladocopium804
CAL1124967.1 Cladocopium182
CAL1125241.1 Cladocopium456
CAL1125122.1 Cladocopium337
CAL1125127.1 Cladocopium342
CAL1125194.1 Cladocopium409
CAL1125396.1 Cladocopium611
CAL1125538.1 Cladocopium753
CAL1125006.1 Cladocopium221
CAL1124950.1 Cladocopium165
CAL1125152.1 Cladocopium367
CAL1125088.1 Cladocopium303
CAL1125603.1 Cladocopium818
CAL1125458.1 Cladocopium673
CAL1124922.1 Cladocopium137
CAL1125042.1 Cladocopium257
CAL1125136.1 Cladocopium351
CAL1124945.1 Cladocopium160
CAL1125202.1 Cladocopium417
CAL1125087.1 Cladocopium302
CAL1125368.1 Cladocopium583
CAL1125256.1 Cladocopium471
CAL1124813.1 Cladocopium28
CAL1125201.1 Cladocopium416
CAL1125349.1 Cladocopium564
CAL1125257.1 Cladocopium472
CAL1125440.1 Cladocopium655
CAL1125456.1 Cladocopium671
CAL1125077.1 Cladocopium292
CAL1125008.1 Cladocopium223
CAL1125289.1 Cladocopium504
CAL1125284.1 Cladocopium499
CAL1124998.1 Cladocopium213
CAL1124997.1 Cladocopium212
CAL1125063.1 Cladocopium278
CAL1124986.1 Cladocopium201
CAL1125437.1 Cladocopium652
CAL1125238.1 Cladocopium453
CAL1125208.1 Cladocopium423
CAL1125067.1 Cladocopium282
CAL1125252.1 Cladocopium467
CAL1125027.1 Cladocopium242
CAL1125547.1 Cladocopium762
CAL1125481.1 Cladocopium696
CAL1125584.1 Cladocopium799
CAL1125567.1 Cladocopium782
CAL1124925.1 Cladocopium140
CAL1125053.1 Cladocopium268
CAL1125073.1 Cladocopium288
CAL1124877.1 Cladocopium92
CAL1125369.1 Cladocopium584
CAL1125168.1 Cladocopium383
CAL1124947.1 Cladocopium162
CAL1124973.1 Cladocopium188
CAL1125459.1 Cladocopium674
CAL1124927.1 Cladocopium142
CAL1125303.1 Cladocopium518
CAL1125413.1 Cladocopium628
CAL1125551.1 Cladocopium766
CAL1125120.1 Cladocopium335
CAL1124970.1 Cladocopium185
CAL1125477.1 Cladocopium692
CAL1125026.1 Cladocopium241
CAL1125491.1 Cladocopium706
CAL1125287.1 Cladocopium502
CAL1125320.1 Cladocopium535
CAL1125399.1 Cladocopium614
CAL1124853.1 Cladocopium68
CAL1125516.1 Cladocopium731
CAL1125500.1 Cladocopium715
CAL1125609.1 Cladocopium824
CAL1125273.1 Cladocopium488
CAL1125606.1 Cladocopium821
CAL1125556.1 Cladocopium771
CAL1125279.1 Cladocopium494
CAL1124985.1 Cladocopium200
CAL1125312.1 Cladocopium527
CAL1124938.1 Cladocopium153
CAL1124939.1 Cladocopium154
CAL1125264.1 Cladocopium479
CAL1125219.1 Cladocopium434
CAL1124857.1 Cladocopium72
CAL1125181.1 Cladocopium396
CAL1125124.1 Cladocopium339
CAL1125623.1 Cladocopium838
CAL1125542.1 Cladocopium757
CAL1125192.1 Cladocopium407
